Season,Date,Water Level (m),Discharge (m3/s),Breakup Type,Data Source,East Channel Breakup Type,West Channel Breakup Type
1964,1964-05-07 4:00,166.351,566,Ice Run,CRID,Thermal,Ice Run
1965,1965-05-02 20:00,167.244,750,Ice Run,CRID,Ice Jam,Ice Jam
1966,1966-05-09 2:00,163.608,550,Thermal,CRID,Thermal,Thermal
1967,1967-05-10 20:30,164.302,850,Ice Run,CRID,Ice Run,Ice Run
1968,1968-04-30 16:45,165.982,328,Ice Run,CRID,Ice Run,Ice Run
1969,1969-04-25 0:00,165.114,623,Ice Run,CRID,Ice Jam,Ice Run
1970,1970-05-03 0:00,165.373,374,Ice Run,CRID/WSC,Ice Run,Ice Run
1971,ND,ND,ND,Ice Run,ND,Ice Run,Ice Run
1972,1972-05-08 17:00,165.193,566,Ice Run,CRID,Ice Run,Ice Run
1973,1973-04-28 14:00,164.117,629,Ice Run,WSC,ND,ND
1974,1974-05-01 0:00,166.433,1100,Ice Run,CRID,Ice Jam,Ice Jam
1975,ND,ND,ND,Thermal,ND,Ice Run,Ice Run
1976,1976-04-22 13:30,164.181,152,Ice Run,CRID,Ice Run,Ice Run
1977,1977-04-27 13:25,165.443,530,Ice Jam,CRID,Ice Jam,Ice Run
1978,1978-05-05 11:15,165.307,767,Ice Run,CRID,Ice Jam,Ice Run
1979,ND,ND,ND,ND,ND,Ice Jam,Ice Run
1980,ND,ND,ND,ND,ND,Ice Run,Ice Run
1981,1981-05-04 0:00,165.425,775,Ice Run,CRID,Ice Jam,Ice Run
1982,1982-05-09 0:00,166.047,657,Ice Run,CRID,Ice Run,Ice Run
1983,ND,164.572,370,Ice Run,CRID,Ice Run,Ice Run
1984,1984-04-21 0:00,161.643,172,Ice Run,CRID,Ice Run,Ice Run
1985,1985-05-06 19:50,167.752,1350,Ice Run,CRID,Ice Jam,Ice Jam
1986,1986-05-06 20:44,167.813,900,Ice Run,CRID,Ice Jam,Ice Run
1987,1987-04-28 9:23,166.552,832,Ice Run,CRID,Ice Jam,Ice Jam
1988,1988-04-27 13:59,165.602,800,Ice Run,CRID,Ice Jam,Ice Jam
1989,1989-05-03 5:42,168.680,800,Ice Jam,CRID,Ice Jam,Ice Jam
1990,1990-04-27 14:59,166.280,350,Ice Jam,CRID,Ice Jam,Ice Jam
1991,1991-04-24 21:50,165.429,200,Ice Jam,CRID,Ice Jam,Ice Jam
1992,1992-04-28 9:23,167.823,900,Ice Jam,CRID,Ice Jam,Ice Jam
1993,1993-04-30 8:30,163.142,159,Ice Run,CRID,Ice Run,Ice Run
1994,1994-04-28 9:46,168.556,770,Ice Jam,CRID,Ice Jam,Ice Jam
1995,1995-05-04 15:03,165.479,320,Ice Run,CRID,Ice Jam,Ice Run
1996,1996-05-02 13:30,163.603,200,Ice Jam,CRID,Ice Run,Ice Run
1997,1997-05-03 10:45,166.606,515,Ice Run,CRID,Ice Run,Ice Jam
1998,1998-04-21 16:00,164.298,360,Ice Jam,CRID,Ice Run,Ice Run
1999,1999-04-26 9:45,161.799,181,Ice Run,CRID,ND,ND
2000,2000-04-29 22:45,163.754,180,Ice Run,CRID,ND,ND
2001,2001-05-04 11:50,166.587,410,Ice Jam,CRID,Ice Run,Ice Jam
2002,2002-05-15 17:25,166.577,460,Ice Jam,CRID,Ice Run,Ice Jam
2003,ND,ND,ND,ND,ND,Ice Run,Ice Jam
2004,2004-05-01 2:10,164.553,155,Ice Jam,CRID,Thermal,Thermal
2005,2005-04-24 2:00,164.790,436,Ice Run,CRID,Ice Jam,Ice Run
2006,2006-04-25 19:15,165.493,370,Ice Jam,CRID,Ice Run,Ice Jam
2007,2007-04-27 11:15,165.975,380,Ice Run,WSC,Ice Jam,Ice Jam
2008,2008-05-05 19:15,167.064,700,Ice Run,WSC,Ice Jam,Ice Jam
2009,2009-05-06 13:50,165.396,630,Ice Run,CRID,Ice Jam,Ice Jam
2010,2010-04-25 15:25,165.822,250,Ice Run,CRID,Ice Jam,Ice Jam
2011,2011-05-08 16:05,165.267,478,Ice Jam,CRID,ND,ND
2012,2012-05-02 15:20,164.999,112,Ice Jam,CRID,ND,ND
2013,2013-05-11 13:05,162.950,186,Ice Run,WSC,ND,ND
2014,2014-05-04 13:10,166.406,283,Ice Jam,CRID,ND,ND
2015,2015-04-26 2:50,163.597,278,Ice Run,CRID,ND,ND
2016,2016-04-28 21:30,164.373,250,Ice Run,WSC,ND,ND
2017,2017-05-02 23:05,163.088,180,Ice Jam,WSC,ND,ND
2018,2018-05-04 8:45,162.274,198,Thermal,WSC,ND,ND
2019,2019-04-17 17:05,160.851,26,Ice Run,WSC,ND,ND
2020,2020-05-05 11:10,166.311,602,Ice Run,WSC,ND,ND
2021,2021-05-10 4:15,168.335,885,Ice Jam,WSC,ND,ND
2022,2022-05-12 6:55,170.900,1460,Ice Jam,WSC,Ice Jam,Ice Jam
2023,2023-04-30 9:10,162.338,133,Ice Run,WSC,ND,ND
