Year,Date,Great Slave Lake Water Level (m),Comment
1964,05-07,156.475,Value on 5/7/1964
1965,05-02,156.612,
1966,05-09,156.451,Value on 5/10/1966
1967,05-10,156.326,Value on 5/7/1964
1968,04-30,156.542,Value on 5/6/1968
1969,04-25,156.292,
1970,05-03,156.292,
1971,ND,,
1972,05-08,156.307,Correlation with 07SB001
1973,04-28,156.545,Correlation with 07SB001
1974,05-01,156.451,Correlation with 07SB001
1975,ND,,
1976,04-22,156.606,Correlation with 07SB001
1977,04-27,156.600,Correlation with 07SB001
1978,05-05,156.582,Correlation with 07SB001
1979,ND,,
1980,ND,,
1981,05-04,156.372,Correlation with 07SB001
1982,05-09,156.204,Correlation with 07SB001
1983,ND,156.275,Correlation with 07SB001
1984,04-21,156.533,Correlation with 07SB001
1985,05-06,156.789,Value on 5/1/1985
1986,05-06,156.752,Value on 4/30/1986
1987,04-28,156.600,Value on 4/25/1987
1988,04-27,156.719,
1989,05-03,156.960,Value on 5/8/1989
1990,04-27,156.799,Value on 4/26/1990
1991,04-24,156.799,Value on 4/26/1991
1992,04-28,157.013,Value on 4/25/1992
1993,04-30,156.903,
1994,04-28,156.848,Correlation with 07SB001
1995,05-04,156.580,Value on 5/2/1995
1996,05-02,156.619,Correlation with 07SB001
1997,05-03,156.875,
1998,04-21,157.132,
1999,04-26,156.582,
2000,04-29,156.561,
2001,05-04,156.657,Value on 4/30/2001
2002,05-15,156.687,Correlation with 07SB001
2003,ND,,
2004,05-01,156.725,Value on 5/6/2004
2005,04-24,156.784,Value on 4/30/2005
2006,04-25,156.907,
2007,04-27,156.652,Value on 4/23/2007
2008,05-05,156.840,Value on 5/10/2008
2009,05-06,156.884,Value on 5/13/2009
2010,04-25,156.737,Value on 5/1/2010
2011,05-08,156.481,Value on 5/16/2011
2012,05-02,156.658,Correlation with 07SB001
2013,05-11,156.802,Value on 5/19/2013
2014,05-04,156.646,Correlation with 07SB001
2015,04-26,156.484,Correlation with 07SB001
2016,04-28,156.568,Value on 4/27/2016
2017,05-02,156.844,
2018,05-04,156.669,Value on 5/10/2018
2019,04-17,156.584,
2020,05-05,156.918,Value on 5/7/2020
2021,05-10,157.344,Value on 5/15/2021
2022,05-12,157.239,Correlation with 07SB001
2023,04-30,156.707,
