Season,Peak Breakup Date and Time,Peak Breakup Level (m),Peak Breakup Discharge (m3/s),Data Source,Breakup Mechanism
1974,1974-05-09 0:00,4.517,4810,CRID,Thermal
1975,1975-05-07 0:00,6.559,2070,CRID,Ice Jam
1976,1976-04-28 0:00,8.321,1640,CRID,Ice Run
1977,1977-05-10 0:00,3.761,2830,WSC,Thermal
1978,1978-05-03 8:30,9.318,2270,CRID,Ice Jam
1979,1979-05-14 14:20,9.251,1850,CRID,Ice Jam
1980,1980-05-01 0:00,5.483,1550,CRID,Ice Jam
1981,1981-05-06 0:00,8.102,1800,CRID,Ice Run
1982,1982-05-10 15:29,11.006,1500,CRID,Ice Jam
1983,1983-04-30 14:32,11.758,1750,CRID,Ice Jam
1984,1984-05-01 21:00,6.28,1640,CRID,Ice Jam
1985,1985-05-10 6:51,12.187,6900,CRID,Ice Jam
1986,1986-05-10 22:44,12.781,3200,CRID,Ice Jam
1987,1987-05-05 5:15,8.06,2300,CRID,Ice Jam
1988,1988-05-04 11:46,10.2,3700,CRID,Ice Run
1989,1989-05-02 16:41,15.247,3000,CRID,Ice Jam
1990,1990-05-03 15:10,7.143,3400,CRID,Ice Run
1991,1991-04-29 5:00,9.575,3230,CRID,Ice Jam
1992,1992-05-04 10:30,12.162,4550,CRID,Ice Run
1993,1993-05-03 15:45,9.537,2480,CRID,Ice Jam
1994,1994-04-30 0:00,10.601,3750,CRID,Ice Jam
1995,1995-05-02 0:00,10.607,2800,CRID,Ice Run
1996,1996-05-03 18:00,8.444,2120,WSC,Ice Jam
1997,1997-05-06 0:00,14.378,4600,WSC,Ice Jam
1998,1998-04-30 3:30,11.719,4020,WSC,Ice Jam
1999,1999-04-29 0:00,9.222,3350,WSC,Ice Jam
2000,2000-05-06 4:15,6.746,2900,WSC,Ice Jam
2001,2001-05-10 15:15,6.686,2300,WSC,Ice Jam
2002,2002-05-16 0:00,13.995,3780,WSC,Ice Run
2003,2003-05-02 0:00,10.519,3400,WSC,Ice Jam
2004,2004-05-03 0:00,11.037,2000,WSC,Ice Jam
2005,2005-04-30 0:00,10.536,4500,WSC,Ice Run
2006,2006-05-05 12:00,12.434,4060,WSC,Ice Jam
2007,2007-04-28 12:00,11.854,3000,WSC,Ice Run
2008,2008-05-06 12:00,10.889,5360,WSC,Ice Run
2009,2009-05-08 3:00,7.721,6680,WSC,Thermal
2010,2010-04-30 0:00,12.301,6400,WSC,Ice Jam
2011,2011-05-08 12:10,6.561,5830,WSC,Thermal
2012,2012-05-05 22:15,9.039,3020,WSC,Ice Run
2013,2013-05-11 23:10,9.44,2730,WSC,Ice Run
2014,2014-05-07 15:45,10.081,4770,WSC,Ice Run
2015,2015-05-01 0:05,10.67,4480,WSC,Ice Jam
2016,2016-05-02 22:10,6.433,3770,WSC,Thermal
2017,2017-05-06 9:20,7.424,4540,WSC,Ice Run
2018,2018-05-07 19:30,9.034,4380,WSC,Ice Jam
2019,2019-04-22 3:10,7.506,1920,WSC,Ice Jam
2020,2020-05-04 0:00,11.761,3450,WSC,Ice Jam
2021,2021-05-07 18:50,11.869,ND,WSC,Ice jam
2022,2022-06-14 9:45,8.240,ND,WSC,ND
2023,2023-05-05 19:30,6.909,ND,WSC,ND
