Season,Peak Breakup Date and Time,Peak Breakup Level (m),Peak Breakup Discharge (m3/s),Data Source,Breakup Mechanism
1991,ND,ND,ND,ND,ND
1992,1992-05-07 0:00,9.844,7000,WSC,Ice Jam
1993,1993-05-03 0:00,10.242,4380,WSC,Ice Run
1994,1994-05-06 0:00,8.869,5200,WSC,Thermal
1995,ND,ND,ND,ND,ND
1996,1996-05-10 0:00,8.473,5800,WSC,Thermal
1997,ND,ND,ND,ND,ND
1998,ND,ND,ND,ND,ND
1999,ND,ND,ND,ND,ND
2000,2000-04-30 19:15,9.386,4200,WSC,Thermal
2001,2001-05-06 19:30,12.942,7000,WSC,Ice Jam
2002,2002-04-24 10:30,9.04,2770,WSC,Thermal
2003,2003-05-09 15:15,9.877,4800,WSC,Ice Run
2004,ND,ND,ND,ND,ND
2005,2005-05-01 13:45,10.39,5800,WSC,Ice Run
2006,2006-05-05 10:45,13.001,6220,WSC,Ice Jam
2007,2007-05-02 5:30,11.341,5300,WSC,Ice Run
2008,ND,ND,ND,ND,ND
2009,2009-05-08 17:30,10.224,5800,WSC,Ice Jam
2010,2010-05-02 7:50,10.315,5800,WSC,Ice Run
2011,2011-05-09 12:15,8.549,4790,WSC,Thermal
2012,2012-05-08 17:20,10.316,7120,WSC,Ice Run
2013,2013-05-14 2:25,12.706,5030,WSC,Ice Run
2014,2014-05-09 1:45,10.568,5470,WSC,Ice Run
2015,2015-05-02 2:50,9.82,5860,WSC,Ice Jam
2016,2016-05-03 11:05,9.048,5880,WSC,Thermal
2017,2017-05-07 7:55,9.603,6380,WSC,Thermal
2018,2018-05-09 21:45,11.54,7230,WSC,Ice Jam
2019,2019-04-20 15:05,10.267,4430,WSC,Ice Run
2020,2020-05-10 6:25,11.84,7690,WSC,Ice Jam
2021,2021-05-13 20:35,15.956,8460,WSC,Ice Jam
2022,2022-03-15 7:45,9.705,ND,WSC,ND
2023,2023-05-05 6:10,12.541,ND,WSC,Ice Jam
