Season,Peak Breakup Date and Time,Peak Breakup Level (m),Peak Breakup Discharge (m3/s),Data Source,Breakup Mechanism
1963,ND,ND,ND,ND,ND
1964,ND,ND,ND,ND,ND
1965,ND,ND,ND,ND,ND
1966,ND,ND,ND,ND,ND
1967,ND,ND,ND,ND,ND
1968,ND,ND,ND,ND,ND
1969,ND,ND,ND,ND,ND
1970,ND,ND,ND,ND,ND
1971,ND,ND,ND,ND,ND
1972,1972-05-13 14:00,14.521,4470,CRID,Ice Jam
1973,1973-05-03 23:00,11.122,8210,CRID,Ice Run
1974,1974-05-12 21:00,9.613,11900,CRID,Thermal
1975,1975-05-09 4:40,9.226,8210,CRID,Ice Jam
1976,1976-04-30 5:00,13.993,8500,CRID,Ice Jam
1977,1977-05-04 15:50,10.775,6090,CRID,Ice Run
1978,1978-05-05 16:00,11.15,5660,CRID,Ice Jam
1979,1979-05-15 1:30,10.147,6000,CRID,Ice Run
1980,1980-04-30 0:10,7.686,5400,CRID,Ice Run
1981,1981-05-07 10:15,12.056,7400,CRID,Ice Jam
1982,1982-05-11 6:19,11.056,10000,CRID,Ice Run
1983,1983-05-10 13:19,8.599,10000,CRID,Thermal
1984,1984-05-04 11:10,8.091,6300,CRID,Ice Jam
1985,1985-05-12 4:16,13.761,10400,CRID,Ice Jam
1986,1986-05-12 8:39,12.74,6700,CRID,Ice Jam
1987,1987-05-05 18:30,11.813,6850,CRID,Ice Run
1988,1988-05-04 15:45,12.841,7200,CRID,Ice Run
1989,1989-05-03 23:24,14.949,9000,CRID,Ice Run
1990,1990-05-04 15:05,10.872,9600,CRID,Ice Jam
1991,1991-05-04 14:13,12.717,6900,CRID,Ice Jam
1992,1992-05-05 13:05,14.281,13700,CRID,Ice Run
1993,1993-05-03 18:15,10.675,6880,CRID,Ice Run
1994,1994-05-03 9:46,9.667,9500,CRID,Ice Run
1995,1995-05-02 23:00,10.697,6130,CRID,Ice Run
1996,1996-05-07 2:48,11.299,10700,WSC,Ice Jam
1997,1997-05-18 17:00,11.066,14800,WSC,Ice Jam
1998,1998-05-01 9:15,13.517,10600,WSC,Ice Jam
1999,1999-05-08 14:00,8.336,8960,WSC,Thermal
2000,2000-05-03 16:30,7.358,6000,WSC,Thermal
2001,2001-05-07 16:55,7.847,9230,WSC,Thermal
2002,2002-05-16 16:25,11.504,8300,WSC,Ice Run
2003,2003-05-02 0:00,13.86,6300,WSC,Ice Jam
2004,2004-05-12 17:30,8.622,6750,WSC,Ice Jam
2005,2005-04-30 0:00,11.899,9950,WSC,Ice Run
2006,2006-05-05 17:20,13.296,10300,WSC,Ice Jam
2007,2007-05-02 7:05,13.386,10800,WSC,Ice Jam
2008,2008-05-06 10:00,11.768,12300,WSC,Ice Run
2009,2009-05-08 4:15,9.304,15300,WSC,Thermal
2010,2010-04-29 17:10,11.816,11800,WSC,Ice Run
2011,2011-05-08 11:15,9.855,9790,WSC,Ice Run
2012,2012-05-07 8:30,11.737,11800,WSC,Ice Jam
2013,2013-05-13 1:00,12.243,12200,WSC,Ice Run
2014,2014-05-08 4:00,11.178,10300,WSC,Ice Run
2015,2015-05-03 0:30,11.543,9500,WSC,Ice Jam
2016,2016-05-03 9:45,8.659,ND,WSC,Ice Run
2017,2017-05-09 0:15,8.276,9600,WSC,Ice Run
2018,2018-05-06 0:00,7.691,10600,WSC,Thermal
2019,2019-04-23 22:15,10.06,5240,WSC,Ice Jam
2020,2020-05-05 13:35,12.69,8500,WSC,Ice Run
2021,2021-05-14 16:30,15.994,15600,WSC,Ice Jam
2022,2022-06-14,9.978,ND,ND,Ice Run
2023,2023-05-25,6.991,ND,ND,Thermal
